BULKLOAD Testcases/TC_6/sortedData_2_10_100.txt 100
QUERY 1304822190 1369895901
QUERY 89423733 1824238149
QUERY 1115875460 1792186627
QUERY 933563855 1725302402
QUERY 2110377009 623089083
QUERY 774159769 31866984
QUERY 1654697271 1521867564
QUERY 262148265 724573329
QUERY 473653430 355971144
QUERY 1713740645 1397804872
QUERY 1933845055 570084840
QUERY 1116480696 1640536778
QUERY 1190213214 1086801532
QUERY 1506653618 944907363
QUERY 1147777584 1590210905
QUERY 1606087758 1899043579
QUERY 330687099 634267052
QUERY 1641876843 1245134883
QUERY 1080920092 1529340849
QUERY 1022393979 1118743667
QUERY 598941410 1194835999
QUERY 128707068 152323938
QUERY 1515330325 788736550
QUERY 66545543 1330928353
QUERY 294237058 182505202
QUERY 1927785704 814866146
QUERY 1900020487 2133102629
QUERY 1034563350 2012855991
QUERY 1245792994 1650564183
QUERY 762374622 1339235743
QUERY 1040067301 309270182
QUERY 1122722764 204982211
QUERY 1118869427 470083503
QUERY 384771143 1431548034
QUERY 1484996735 1857783961
QUERY 190676139 1437259031
QUERY 869699250 1663174258
QUERY 854926354 1478975413
QUERY 477882712 1939690969
QUERY 262148265 724573329
QUERY 1189503767 542677126
QUERY 1162103222 1218242911
QUERY 2097385544 1405396760
QUERY 577762758 647505025
QUERY 1289420864 1217232119
QUERY 888792064 1153106575
QUERY 40527030 2084359975
QUERY 1227034185 648107877
QUERY 296290160 2110802954
QUERY 1034563350 2012855991
QUERY 323066876 2105013019
QUERY 1372595751 1623590639
QUERY 1584871513 925521713
QUERY 1755987692 1359870963
QUERY 477882712 1939690969
QUERY 686983721 983838243
QUERY 937587079 242563220
QUERY 1083624192 1423678542
QUERY 943697368 543013273
QUERY 1268326865 1375897291
QUERY 817683639 1385008441
QUERY 963188072 360682756
QUERY 1136687428 1933349297
QUERY 107005269 244323015
QUERY 434873642 1994362951
QUERY 1049721236 1615353696
QUERY 10883321 603632585
QUERY 1914503345 1997705250
QUERY 2037776664 2081053720
QUERY 273115469 830812480
QUERY 659683251 2135685423
QUERY 1236105519 390693561
QUERY 1133202626 1785131334
QUERY 1253001382 631367566
QUERY 1235000151 329647821
QUERY 971709478 1090707776
QUERY 2037776664 2081053720
QUERY 774159769 31866984
QUERY 560318766 2107972514
QUERY 1762555521 1127566139
QUERY 1245792994 1650564183
QUERY 2097897208 506950440
QUERY 1737049739 1665537662
QUERY 1287278185 1820274422
QUERY 1737049739 1665537662
QUERY 1329551582 1006523543
QUERY 888792064 1153106575
QUERY 904382209 845530938
QUERY 358178256 2114073495
QUERY 631679732 527460209
QUERY 2024830669 2114759412
QUERY 162815713 856537106
QUERY 1503119677 2146508279
QUERY 1484996735 1857783961
QUERY 1616022367 165091583
QUERY 523269840 1322092925
QUERY 1432706447 935785931
QUERY 1890802246 1488456800
QUERY 529345525 1891064695
QUERY 1578235762 1929669735
